0,67026.9
100,148177.4
200,179604.75
300,225087.35
400,296730.7
500,486970.5
600,586416.4
700,635455.45
800,689453.05
900,745844.55
1000,805587.5
1100,873811.25
1200,951028.85
1300,1037753.3
1400,1133369.05
1500,1237670.95
1600,1346658.05
1700,1468229.65
1800,1585081.85
1900,1689862.55
2000,1785888.75
2100,1884206.15
2200,1987790.2
2300,2095648.7
2400,2211817.15
2500,2334277.95
2600,2461936.7
2700,2594554.05
2800,2736336.35
2900,2883692.8
3000,3034503.2
3100,3194717.85
3200,3353120.1
3300,3521439.5
3400,3694443.95
3500,3866798.65
3600,4046334.8
3700,4226589.1
3800,4414743.0
3900,4608094.95
4000,4803601.25
4100,5006118.05
4200,5215234.95
4300,5428558.1
4400,5651935.3
4500,5880168.5
4600,6122012.2
4700,6366215.6
4800,6616574.5
4900,6879962.6
5000,7147146.6
5100,7420657.1
5200,7701041.25
5300,7986213.1
5400,8275762.2
5500,8573621.25
5600,8881671.05
5700,9197244.35
5800,9520170.0
5900,9843813.85
6000,1.01773749E7
6100,1.05180833E7
6200,1.086621245E7
6300,1.122261735E7
6400,1.15749186E7
6500,1.195259435E7
6600,1.232496945E7
6700,1.269963575E7
6800,1.30828514E7
6900,1.34657935E7
7000,1.38496247E7
7100,1.424395445E7
7200,1.46364034E7
7300,1.503647835E7
7400,1.543795545E7
7500,1.585512915E7
7600,1.626163325E7
7700,1.667685765E7
7800,1.710069975E7
7900,1.75380157E7
8000,1.797796475E7
8100,1.842129935E7
8200,1.88657624E7
8300,1.93195614E7
8400,1.97768143E7
8500,2.02372818E7
8600,2.07082479E7
8700,2.117914555E7
8800,2.166420105E7
8900,2.214840155E7
9000,2.2641083E7
9100,2.314091175E7
9200,2.363732065E7
9300,2.415469255E7
9400,2.467326135E7
9500,2.521139115E7
9600,2.576268685E7
9700,2.63029026E7
9800,2.685283035E7
9900,2.740487835E7
